//
// Keywords for scripts...
//

//WIP Object

1	"Wave 1"
INDIA1_INTRO_INFO_2	"slp=parch6 bg=fcam6bg parchslpframe=02 left=0.25 top=0.15 right=0.90 bottom=0.95"
INDIA1_INTRO_INFO_3	"slp=parch6 bg=fcam6bg parchslpframe=03 left=0.15 top=0.15 right=0.65 bottom=0.95"
INDIA1_OUTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=04 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA2_INTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=05 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA2_INTRO_INFO_2	"slp=parch6 bg=fcam6bg parchslpframe=06 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA2_INTRO_INFO_3	"slp=parch6 bg=fcam6bg parchslpframe=07 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA2_OUTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=08 left=0.15 top=0.15 right=0.75 bottom=0.95"
INDIA3_INTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=09 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA3_INTRO_INFO_2	"slp=parch6 bg=fcam6bg parchslpframe=10 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA3_INTRO_INFO_3	"slp=parch6 bg=fcam6bg parchslpframe=11 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA3_OUTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=12 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA4_INTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=13 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA4_INTRO_INFO_2	"slp=parch6 bg=fcam6bg parchslpframe=14 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA4_INTRO_INFO_3	"slp=parch6 bg=fcam6bg parchslpframe=15 left=0.15 top=0.15 right=0.85 bottom=0.95"
INDIA4_OUTRO_INFO_1	"slp=parch6 bg=fcam6bg parchslpframe=16 left=0.15 top=0.15 right=0.85 bottom=0.95"
BUKHARA_INTRO_INFO_1	"slp=parch7 bg=fcam7bg parchslpframe=01 left=0.25 top=0.15 right=0.85 bottom=0.95"
BUKHARA_INTRO_INFO_2	"slp=parch7 bg=fcam7bg parchslpframe=01 left=0.25 top=0.15 right=0.85 bottom=0.95"
BUKHARA_INTRO_INFO_3	"slp=parch7 bg=fcam7bg parchslpframe=02 left=0.25 top=0.15 right=0.85 bottom=0.95"
BUKHARA_INTRO_INFO_4	"slp=parch7 bg=fcam7bg parchslpframe=02 left=0.25 top=0.15 right=0.85 bottom=0.95"
BUKHARA_OUTRO_INFO_1	"slp=parch7 bg=fcam7bg parchslpframe=03 left=0.25 top=0.15 right=0.85 bottom=0.95"
CYPRUS_INTRO_INFO_1	"slp=parch7 bg=fcam7bg parchslpframe=04 left=0.25 top=0.15 right=0.85 bottom=0.95"
CYPRUS_INTRO_INFO_2	"slp=parch7 bg=fcam7bg parchslpframe=05 left=0.25 top=0.15 right=0.85 bottom=0.95"
CYPRUS_INTRO_INFO_3	"slp=parch7 bg=fcam7bg parchslpframe=06 left=0.25 top=0.15 right=0.85 bottom=0.95"
CYPRUS_INTRO_INFO_4	"slp=parch7 bg=fcam7bg parchslpframe=05 left=0.25 top=0.15 right=0.85 bottom=0.95"
CYPRUS_OUTRO_INFO_1	"slp=parch7 bg=fcam7bg parchslpframe=05 left=0.25 top=0.15 right=0.85 bottom=0.95"
CYPRUS_OUTRO_INFO_2	"slp=parch7 bg=fcam7bg parchslpframe=04 left=0.25 top=0.15 right=0.85 bottom=0.95"
CYPRUS_OUTRO_INFO_3	"slp=parch7 bg=fcam7bg parchslpframe=04 left=0.25 top=0.15 right=0.85 bottom=0.95"
DOSPILAS_INTRO_INFO_1	"slp=parch7 bg=fcam7bg parchslpframe=08 left=0.25 top=0.15 right=0.85 bottom=0.95"
DOSPILAS_INTRO_INFO_2	"slp=parch7 bg=fcam7bg parchslpframe=08 left=0.25 top=0.15 right=0.85 bottom=0.95"
DOSPILAS_INTRO_INFO_3	"slp=parch7 bg=fcam7bg parchslpframe=10 left=0.25 top=0.15 right=0.85 bottom=0.95"
DOSPILAS_INTRO_INFO_4	"slp=parch7 bg=fcam7bg parchslpframe=10 left=0.25 top=0.15 right=0.85 bottom=0.95"
DOSPILAS_OUTRO_INFO_1	"slp=parch7 bg=fcam7bg parchslpframe=08 left=0.25 top=0.15 right=0.85 bottom=0.95"
DOSPILAS_OUTRO_INFO_2	"slp=parch7 bg=fcam7bg parchslpframe=09 left=0.25 top=0.15 right=0.85 bottom=0.95"
DOSPILAS_OUTRO_INFO_3	"slp=parch7 bg=fcam7bg parchslpframe=08 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_INTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=11 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_INTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=11 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_INTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=12 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_INTRO_INFO_4 "slp=parch7 bg=fcam7bg parchslpframe=13 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_INTRO_INFO_5 "slp=parch7 bg=fcam7bg parchslpframe=12 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_OUTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=11 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_OUTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=13 left=0.25 top=0.15 right=0.85 bottom=0.95"
HONFOGLALAS_OUTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=11 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_INTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=14 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_INTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=14 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_INTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=15 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_INTRO_INFO_4 "slp=parch7 bg=fcam7bg parchslpframe=14 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_INTRO_INFO_5 "slp=parch7 bg=fcam7bg parchslpframe=14 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_OUTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=16 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_OUTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=16 left=0.25 top=0.15 right=0.85 bottom=0.95"
KURIKARA_OUTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=14 left=0.25 top=0.15 right=0.85 bottom=0.95"
LANGSHAN_INTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=17 left=0.25 top=0.15 right=0.85 bottom=0.95"
LANGSHAN_INTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=18 left=0.25 top=0.15 right=0.85 bottom=0.95"
LANGSHAN_INTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=17 left=0.25 top=0.15 right=0.85 bottom=0.95"
LANGSHAN_INTRO_INFO_4 "slp=parch7 bg=fcam7bg parchslpframe=19 left=0.25 top=0.15 right=0.85 bottom=0.95"
LANGSHAN_OUTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=19 left=0.25 top=0.15 right=0.85 bottom=0.95"
SOGUT_INTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=22 left=0.25 top=0.15 right=0.85 bottom=0.95"
SOGUT_INTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=20 left=0.25 top=0.15 right=0.85 bottom=0.95"
SOGUT_INTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=20 left=0.25 top=0.15 right=0.85 bottom=0.95"
SOGUT_INTRO_INFO_4 "slp=parch7 bg=fcam7bg parchslpframe=22 left=0.25 top=0.15 right=0.85 bottom=0.95"
SOGUT_OUTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=21 left=0.25 top=0.15 right=0.85 bottom=0.95"
SOGUT_OUTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=21 left=0.25 top=0.15 right=0.85 bottom=0.95"
SOGUT_OUTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=20 left=0.25 top=0.15 right=0.85 bottom=0.95"

YORK_INTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=23 left=0.25 top=0.15 right=0.85 bottom=0.95"
YORK_INTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=23 left=0.25 top=0.15 right=0.85 bottom=0.95"
YORK_INTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=24 left=0.25 top=0.15 right=0.85 bottom=0.95"
YORK_INTRO_INFO_4 "slp=parch7 bg=fcam7bg parchslpframe=24 left=0.25 top=0.15 right=0.85 bottom=0.95"
YORK_INTRO_INFO_5 "slp=parch7 bg=fcam7bg parchslpframe=24 left=0.25 top=0.15 right=0.85 bottom=0.95"
YORK_OUTRO_INFO_1 "slp=parch7 bg=fcam7bg parchslpframe=25 left=0.25 top=0.15 right=0.85 bottom=0.95"
YORK_OUTRO_INFO_2 "slp=parch7 bg=fcam7bg parchslpframe=26 left=0.25 top=0.15 right=0.85 bottom=0.95"
YORK_OUTRO_INFO_3 "slp=parch7 bg=fcam7bg parchslpframe=24 left=0.25 top=0.15 right=0.85 bottom=0.95"
